tweet_id,created_at,loc,text,user_id,verified
1245501966769213440,2020-04-02 00:03:03+00:00,CA,melvin tunstall passed through vicinity south carolina with 976 temperature corona,u1250616,0
1245501974621143041,2020-04-02 00:03:05+00:00,FL,jgovan once this corona stuff over yall still need wash your hands,u1250617,0
1245501977389195264,2020-04-02 00:03:06+00:00,CA,partisangirl they want virus spread even australian health minister said doesnt want become corona virus free,u25380,0
1245501977804537860,2020-04-02 00:03:06+00:00,TX,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1041017,0
1245501983445987329,2020-04-02 00:03:07+00:00,NY,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u1250618,0
1245501987518545923,2020-04-02 00:03:08+00:00,TX,corona claiming more musician artist lives than drugs,u35454,0
1245501986889445376,2020-04-02 00:03:08+00:00,NC,cjtruth list will continue grow corona virus notables https sh4cdoiarl,u1742,0
1245501985513713666,2020-04-02 00:03:08+00:00,AL,this corona just thinkin really looking forward pride this year because never been https mrizw gqvu,u1250619,0
1245501990882467840,2020-04-02 00:03:09+00:00,CA,praying corona virus world that prays together stays together saint jude please pray https jgwoitldvg,u1250620,0
1245501989573853185,2020-04-02 00:03:09+00:00,TN,normal scheduled prayer gathering stopped corona pounding heaven through zoom with praye https,u1250621,0
1245501995047256065,2020-04-02 00:03:10+00:00,CA,durante esse corona tudo leva crer realmente vida sentido nenhum mesmo https lrqu j23u8,u281881,0
1245501992786694144,2020-04-02 00:03:10+00:00,OH,come house with outside clothes gonna have whole different meaning after corona,u224882,0
1245501995097743367,2020-04-02 00:03:10+00:00,NY,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250622,0
1245501999363194881,2020-04-02 00:03:11+00:00,CO,spocksbrayne neldadfs chrismurphyct blue states aren keeping churches open having corona virus parties https zpxfylur,u1250623,0
1245502002936844292,2020-04-02 00:03:12+00:00,NE,moneyman doctor really dont give about opinion corona shit,u1250624,0
1245502014458658816,2020-04-02 00:03:15+00:00,AL,kamauwawangari adamjkucharski jburnmurdoch data credible though countries build effective corona mitigation strategies,u322694,0
1245502025099620354,2020-04-02 00:03:17+00:00,PA,also convinced that none have corona because cookie dough inhaled last club tulip https h4urxqsbuv,u1240764,0
1245502023023366145,2020-04-02 00:03:17+00:00,PA,houseparty corona quarantine north philadelphia east philadelphia https gjukdphs,u1250625,0
1245502030589964288,2020-04-02 00:03:19+00:00,TX,realdlhughley what americans trump taking time with corona kaepernick taking knee teamdl,u1250626,0
1245502042761605120,2020-04-02 00:03:21+00:00,MD,thank thechallenge flimed before corona,u1250627,0
1245502045072904193,2020-04-02 00:03:22+00:00,CA,hate corona,u1250628,0
1245502043680313347,2020-04-02 00:03:22+00:00,TX,badwebsites republicans this donald this they blaming corona virus https s6leiydc,u7796,0
1245502050240266246,2020-04-02 00:03:23+00:00,AR,sabrina_mcda trump floats building hospital ships help states battle corona virus goodie hardly wait whole fleet,u901282,0
1245502058490454016,2020-04-02 00:03:25+00:00,NC,atensnut wishes chris cuomo same thing chris would wish president should president corona virus,u144034,0
1245502057269911552,2020-04-02 00:03:25+00:00,OR,glitterbeardx corona want kiss,u1076663,0
1245502058595115008,2020-04-02 00:03:25+00:00,AZ,nick_clamorgan does mullah regime think america weak lets have look corona front iran freeiran 2020 real,u39082,0
1245502063913635841,2020-04-02 00:03:27+00:00,AL,corona stop playin,u505760,0
1245502068900626434,2020-04-02 00:03:28+00:00,IL,corona virus stone that struck feet world empire daniel,u203735,0
1245502074445541377,2020-04-02 00:03:29+00:00,NC,coronahate lawmaker angry because accepting charity from bigots like franklin graham samaritans https lzsbclegiz,u1250629,0
1245502080535625729,2020-04-02 00:03:30+00:00,CO,benjaminpdixon once quarter postcorona world politcians should required come steps capitol shin,u7534,0
1245502077427576832,2020-04-02 00:03:30+00:00,CA,mikejopro corona infected cruise ship nowhere,u1250630,0
1245502083203244033,2020-04-02 00:03:31+00:00,FL,trevroro corona,u285638,0
1245502090396553216,2020-04-02 00:03:33+00:00,NY,coronavirus could impact financial returns according union pacific https ezhtu,u1250631,0
1245502095530364929,2020-04-02 00:03:34+00:00,TX,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u420763,0
